,common_drugs
250,COc1cc(C)c(C=CC(C)=CC=CC(C)=CC(=O)O)c(C)c1C
687,O=C(O)CN(CCN(CC(=O)O)CC(=O)O)CC(=O)O
542,Fc1ccc(C(c2ccccc2)(c2ccccc2F)n2ccnc2)cc1
764,CCCCc1c(-c2ccc(OC)cc2)[nH]c2nccnc12
732,CCC(C)n1ncn(-c2ccc(N3CCN(c4ccc(OC[C@H]5CO[C@](Cn6cncn6)(c6ccc(Cl)cc6Cl)O5)cc4)CC3)cc2)c1=O
90,CN1CCCC(CN2c3ccccc3Sc3ccccc32)C1
45,OCCNCCCOc1cccc(Cl)c1Cl
803,CC[C@H](CC#N)OC(=O)N[C@@H](C)c1cccc(NC(=O)Nc2ccc(-c3cnco3)c(OC)c2)c1
206,CC(C)NC(=O)N1[C@H](C#N)[C@@H](c2ccc(C#CC3CCCCC3)cc2)[C@@H]1CO
385,C[C@]1(O)C[C@@H](c2nc(-c3ccc4ccc(-c5ccccc5)nc4c3)c3c(N)nccn32)C1
568,CC[C@H]1CN2CCc3cc(OC)c(OC)cc3C2C[C@@H]1CC1NCCc2cc(OC)c(OC)cc21
407,CN1Cc2c(ccc3c2OCO3)[C@H]2[C@@H](O)Cc3cc4c(cc3[C@H]21)OCO4
