,common_drugs
173,CCc1c2c(nc3ccc(O)cc13)-c1cc3c(c(=O)n1C2)COC(=O)[C@]3(O)CC
18,O=C(Nc1cc(C(F)(F)F)cc(C(F)(F)F)c1)c1cc(Cl)ccc1O
261,COc1cc([C@@H]2c3cc4c(cc3[C@H](O)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1OC
521,CCN(CCO)CCCOc1ccc2c(Nc3cc(CC(=O)Nc4cccc(F)c4)[nH]n3)ncnc2c1
357,CC1(C)C2CC[C@]3(C)C(C(=O)C=C4[C@@H]5C[C@@](C)(C(=O)O)CC[C@]5(C)CC[C@]43C)[C@@]2(C)CC[C@@H]1OC(=O)CCC(=O)O
531,N#Cc1nc(Nc2cccc(Cl)c2)c2ncn(C3CCCC3)c2n1
46,Cc1sc2c(c1C)C(c1ccc(Cl)cc1)=N[C@@H](CC(=O)Nc1ccc(O)cc1)c1nnc(C)n1-2
202,O=C1Nc2cc(Br)ccc2/C1=C1/Nc2ccccc2C1=NO
601,CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1
106,O=c1cc(N2CCOCC2)oc2c1ccc1ccccc12
681,COC(=O)Nc1nc2ccc(Sc3ccccc3)cc2[nH]1
781,COc1cc2ncnc(-n3nc(-c4ccccn4)nc3N)c2cc1OC
805,CC(C)C(=O)OC[C@H]1O[C@@H](n2ccc(N)nc2=O)[C@](C)(F)[C@@H]1OC(=O)C(C)C
689,c1ccc2[nH]c(-c3cscn3)nc2c1
687,C[C@@H]1CN([C@H](C)CO)C(=O)c2cccc(NC(=O)c3ccc(-c4nccs4)cc3)c2O[C@@H]1CN(C)Cc1ccc(Oc2ccccc2)cc1
431,O=C1C[C@@H](c2ccc(O)cc2)Oc2cc(O)cc(O)c21
523,CC(C)C(=O)NC(c1ccco1)c1ccc2cccnc2c1O
197,CNCCC=C1c2ccccc2CCc2ccccc21
92,Cn1nnnc1Sc1ncnc2scc(-c3ccccc3Cl)c12
187,Brc1ccc(CSc2nnc(-c3ccccn3)n2Cc2ccco2)cc1
740,O=C1NC(=O)[C@@H](c2cn3c4c(cccc24)CCC3)[C@@H]1c1c[nH]c2ccccc12
449,N=C(N)NCCNS(=O)(=O)c1cccc2cnccc12
211,COc1ccccc1-c1csc2ncnc(Sc3nnnn3C)c12
712,C=CC(=O)N1CCCC(n2nc(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)C1
