,0
114,COc1ccccc1-c1cccc(-c2nc(C(=O)NCc3ccncc3)cc3c2[C@H](CCO)N([S@@](=O)C(C)(C)C)C3)c1
115,O=C(C=Cc1ccc(O)cc1)c1ccc(O)cc1O
116,CC(C)c1ccc(NC(=O)c2cccs2)c(-c2nc3ccccc3[nH]c2=O)c1
117,C[C@@H]1C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO
118,CN(CC=Cc1ccccc1)Cc1cccc2ccccc12
119,C[C@H](CCC(=O)O)[C@@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@@H]3CC[C@]12C
120,Cc1c(C)c2c(c(C)c1O)CCC(C)(COc1ccc(CC3SC(=O)NC3=O)cc1)O2
121,CCN(CC)C(=S)SSC(=S)N(CC)CC
122,NC(=O)Nc1cc(-c2cccc(F)c2)sc1C(=O)N[C@H]1CCCNC1
123,CC=C(C)C(=O)O[C@H]1C(C)=C[C@]23C(=O)[C@@H](C=C(CO)[C@@H](O)[C@]12O)[C@H]1[C@@H](C[C@H]3C)C1(C)C
124,Nc1nc2ccc(Cl)cc2c2nc(-c3ccco3)nn12
125,O=C(NC(NC(=S)Nc1ccc(F)c([N+](=O)[O-])c1)C(Cl)(Cl)Cl)C(c1ccccc1)c1ccccc1
126,C[C@@H]1C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(Cl)[C@@H](O)C[C@]2(C)[C@H]1C(=O)COC(=O)C(C)(C)C
127,O=C(Nc1cccnc1)N1CCC(Cc2cccc(Oc3ccc(C(F)(F)F)cn3)c2)CC1
128,C[C@H](O)C#Cc1ccc2c(c1)O[C@@H](CN(C)Cc1ccc(-c3ccccc3)cc1)[C@H](C)CN([C@@H](C)CO)S2(=O)=O
129,Cc1csc(-c2nnc(Nc3ccc(Oc4ncccc4-c4ccnc(N)n4)cc3)c3ccccc23)c1
130,C[C@H]1CN([C@H](C)CO)C(=O)Cc2cc(NC(=O)Nc3ccc(C(F)(F)F)cc3)ccc2O[C@H]1CN(C)Cc1ccc(C(=O)Nc2ccccc2N)cc1
131,Oc1ccc2c(c1)O[C@H](c1ccc(O)c(O)c1)[C@@H](O)C2
132,CCOc1ccc(C=C2NCCc3cc(OCC)c(OCC)cc32)cc1OCC
133,CCCCCCCCCCC(C)(C)C(=O)Nc1c(OC)cc(OC)cc1OC
134,C=C1/C(=C\C=C2CCC[C@]3(C)C2CCC3C(C)CCCC(C)(C)O)CC(O)C[C@@H]1O
135,Cc1cccc(C)c1NC(=O)CN1CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1
136,CN1c2ccccc2C(=O)N2CCc3c([nH]c4ccccc34)C21
137,CCC(=O)N(c1ccccc1)C1CCN(CCc2ccc(N=C=S)cc2)CC1
138,O=C(C[C@@H]1CC[C@H]2[C@@H](COC[C@@H](O)CN2Cc2ccc3c(c2)OCO3)O1)Nc1ccc(-c2ccccc2)cc1
139,Cn1nnnc1Sc1ncnc2scc(-c3ccccc3Br)c12
140,CO[C@H]1O[C@H](CO)[C@@H](OC(=O)Nc2ccc(Oc3ccccc3)cc2)[C@H](OC(=O)Nc2ccccc2-c2ccccc2)[C@H]1OC(=O)Nc1ccccc1-c1ccccc1
141,O=C(Nc1ccc([N+](=O)[O-])cc1Cl)c1cc(Cl)ccc1O
142,CC(=O)[C@@]1(O)CCC2C3C[C@H](C)C4=CC(=O)C=CC4(C)[C@@]3(F)[C@@H](O)C[C@@]21C
143,COc1ccc(C2CNC(=O)C2)cc1OC1CCCC1
144,O=S(=O)(c1cccc2cnccc12)N1CCCNCC1
145,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(C)=O)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1
146,N=C(NCCc1ccc(I)cc1)SCCCc1c[nH]cn1
147,c1ccc2c(-c3cnn4cc(-c5ccc(N6CCNCC6)cc5)cnc34)ccnc2c1
148,Cc1ccc(S(=O)(=O)NCc2ccc(C(=O)NCCN(Cc3ccccc3)C(C)C)cc2)cc1
149,C[C@@H](CO)N1C[C@@H](C)[C@H](CN(C)C(=O)Nc2cc(F)ccc2F)Oc2cc(C#CC3CCCC3)ccc2S1(=O)=O
150,FC(F)(F)c1ccc(Cl)c(Nc2nnc(-c3ccncc3)s2)c1
151,O=C(C=Cc1ccc(O)c(O)c1)OCCc1ccccc1
152,CN(C)CCCOc1nn(Cc2ccccc2)c2ccccc12
153,COc1ccc(CN(C)C[C@@H]2OCCCC[C@H](C)Oc3ccc(NC(=O)Nc4ccc(C(F)(F)F)cc4)cc3C(=O)N([C@@H](C)CO)C[C@H]2C)cc1
154,O=c1n(CC2CO2)c(=O)n(CC2CO2)c(=O)n1CC1CO1
155,CN1CC(CNC(=O)OCc2ccccc2)C[C@H]2c3cccc4c3c(cn4C)CC21
156,COCCNC(=O)COc1ccc(OCCNC[C@H](O)COc2ccccc2)cc1
157,CC(C)NC(=O)Nc1ccc2c(c1)C(=O)N([C@@H](C)CO)C[C@@H](C)[C@H](CN(C)C(=O)NC1CCCCC1)OCCCC[C@H](C)O2
158,CCCC[C@@H](C)/C=C(C)/C=C(\C)C(=O)NC1=C[C@@](O)(C=CC=CC=CC(=O)NC2C(=O)CCC2=O)[C@@H]2O[C@@H]2C1=O
159,O=c1cc(-c2cccc3c2Sc2ccccc2S3)oc(N2CCOCC2)c1
160,Cc1oncc1C(=O)Nc1ccc(C(F)(F)F)cc1
161,O=c1cc(N2CCOCC2)oc2c(-c3ccccc3)cccc12
162,CCCNC(=O)Nc1ccc2c(c1)C(=O)N(C)C[C@H](OC)[C@@H](C)CN(Cc1ccc(-c3ccccn3)cc1)[C@@H](C)CO2
163,N#C/C(=C\c1ccc(-c2cc(Cl)ccc2Cl)o1)C(=O)Nc1cccc2ncccc12
164,COCC(=O)N1CC2(CCN(Cc3ccccc3)CC2)c2c([nH]c3cc(OC)ccc23)[C@H]1CO
165,CC[C@]1(O)C[C@@H]2CN(CCc3c([nH]c4ccccc34)[C@@](C(=O)OC)(c3cc4c(cc3OC)N(C)[C@H]3[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]5(CC)C=CCN6CC[C@]43[C@@H]65)C2)C1
