"","x"
"233","CPC006_A549_24H:BRD-K57011718-001-01-5:10"
"234","CPC006_A549_24H:BRD-K59184148-001-04-2:10"
"235","CPC006_A549_24H:BRD-K59962020-001-06-9:10"
"236","CPC006_A549_24H:BRD-K69328504-001-01-7:10"
"237","CPC006_A549_24H:BRD-K73261812-001-01-1:10"
"238","CPC006_A549_24H:BRD-K74236984-001-01-4:10"
"239","CPC006_A549_24H:BRD-K74305673-001-01-3:10"
"240","CPC006_A549_24H:BRD-K83289131-001-01-4:10"
"241","CPC006_A549_24H:BRD-K87947369-001-01-6:10"
"242","CPC006_A549_24H:BRD-K89687904-001-01-8:10"
"243","CPC006_A549_24H:BRD-K89732114-001-05-9:10"
"244","CPC006_A549_24H:BRD-K90735586-001-07-4:10"
"245","CPC006_A549_24H:BRD-K90999434-003-01-9:10"
"246","CPC006_A549_24H:BRD-K92317137-001-04-0:10"
"247","CPC006_A549_24H:BRD-K94325918-001-03-8:10"
"248","CPC006_A549_24H:BRD-K96354014-001-09-6:10"
"249","CPC007_A549_24H:BRD-A09719808-001-02-3:10"
"250","CPC007_A549_24H:BRD-A24021119-001-06-0:10"
"251","CPC007_A549_24H:BRD-A39093044-001-09-6:10"
"252","CPC007_A549_24H:BRD-A43126523-001-06-4:10"
"253","CPC007_A549_24H:BRD-A44862234-001-02-2:10"
"254","CPC007_A549_24H:BRD-A68820570-001-04-9:10"
"255","CPC007_A549_24H:BRD-A75409952:10"
"256","CPC007_A549_24H:BRD-A82096673-001-04-4:10"
"257","CPC007_A549_24H:BRD-K00863322-001-04-9:10"
"258","CPC007_A549_24H:BRD-K01578344-001-07-9:10"
"259","CPC007_A549_24H:BRD-K03371390-001-06-2:10"
"260","CPC007_A549_24H:BRD-K03568209-001-12-2:10"
"261","CPC007_A549_24H:BRD-K05153001-001-05-5:10"
"262","CPC007_A549_24H:BRD-K06956503-001-02-0:10"
"263","CPC007_A549_24H:BRD-K07668032-001-07-9:10"
"264","CPC007_A549_24H:BRD-K07790824-001-03-2:10"
"265","CPC007_A549_24H:BRD-K13665914-001-06-2:10"
"266","CPC007_A549_24H:BRD-K15640888-001-06-5:10"
"267","CPC007_A549_24H:BRD-K18595892-001-09-6:10"
"268","CPC007_A549_24H:BRD-K19499941-001-09-1:10"
"269","CPC007_A549_24H:BRD-K26767475-001-05-4:10"
"270","CPC007_A549_24H:BRD-K27484191-001-07-4:10"
"271","CPC007_A549_24H:BRD-K32501161-003-07-0:10"
"272","CPC007_A549_24H:BRD-K32862555-001-04-1:10"
"273","CPC007_A549_24H:BRD-K33305493-001-02-9:10"
"274","CPC007_A549_24H:BRD-K35920785-001-05-3:10"
"275","CPC007_A549_24H:BRD-K37940862-004-03-4:10"
"276","CPC007_A549_24H:BRD-K39345836-001-05-8:10"
"277","CPC007_A549_24H:BRD-K42867405-001-05-7:10"
"278","CPC007_A549_24H:BRD-K45675241-004-06-1:10"
"279","CPC007_A549_24H:BRD-K51608872-001-15-6:10"
"280","CPC007_A549_24H:BRD-K53011428-001-06-9:10"
"281","CPC007_A549_24H:BRD-K57285282-001-06-0:10"
"282","CPC007_A549_24H:BRD-K58214070-001-07-3:10"
"283","CPC007_A549_24H:BRD-K59761766-001-05-5:10"
"284","CPC007_A549_24H:BRD-K60870698-001-08-8:10"
