"","x"
"249","CPC006_MCF7_24H:O17"
"250","CPC006_MCF7_24H:O19"
"251","CPC006_MCF7_24H:P07"
"252","CPC007_MCF7_24H:BRD-A19037878:10"
"253","CPC007_MCF7_24H:BRD-A19500257:10"
"254","CPC007_MCF7_24H:BRD-A43126523-001-06-4:10"
"255","CPC007_MCF7_24H:BRD-A47816767-001-11-1:10"
"256","CPC007_MCF7_24H:BRD-A76490030-001-09-4:10"
"257","CPC007_MCF7_24H:BRD-A93426597-019-03-7:10"
"258","CPC007_MCF7_24H:BRD-K05153001-001-05-5:10"
"259","CPC007_MCF7_24H:BRD-K05402890-001-09-2:10"
"260","CPC007_MCF7_24H:BRD-K24426149-001-07-1:10"
"261","CPC007_MCF7_24H:BRD-K25373946-001-04-6:10"
"262","CPC007_MCF7_24H:BRD-K26767475-001-05-4:10"
"263","CPC007_MCF7_24H:BRD-K27484191-001-07-4:10"
"264","CPC007_MCF7_24H:BRD-K29140223-001-04-9:10"
"265","CPC007_MCF7_24H:BRD-K32821942-001-12-2:10"
"266","CPC007_MCF7_24H:BRD-K37940862-004-03-4:10"
"267","CPC007_MCF7_24H:BRD-K49630153-001-05-6:10"
"268","CPC007_MCF7_24H:BRD-K49814456-001-09-2:10"
"269","CPC007_MCF7_24H:BRD-K58214070-001-07-3:10"
"270","CPC007_MCF7_24H:BRD-K60870698-001-08-8:10"
"271","CPC007_MCF7_24H:BRD-K67118123-001-06-4:10"
"272","CPC007_MCF7_24H:BRD-K81418486:10"
"273","CPC007_MCF7_24H:BRD-K83194053-001-07-7:10"
"274","CPC007_MCF7_24H:BRD-K83213280-001-07-0:10"
"275","CPC007_MCF7_24H:BRD-K84203638-001-05-3:10"
"276","CPC008_MCF7_24H:BRD-A81377415-019-01-0:10"
"277","CPC008_MCF7_24H:BRD-K00910650-001-01-6:10"
"278","CPC008_MCF7_24H:BRD-K01896723-001-01-9:10"
"279","CPC008_MCF7_24H:BRD-K02381115-001-01-7:10"
"280","CPC008_MCF7_24H:BRD-K07259155-001-05-2:10"
"281","CPC008_MCF7_24H:BRD-K07515761-019-01-4:10"
"282","CPC008_MCF7_24H:BRD-K08829932-019-01-2:10"
"283","CPC008_MCF7_24H:BRD-K09299610-001-01-4:10"
"284","CPC008_MCF7_24H:BRD-K12814321-001-04-9:10"
"285","CPC008_MCF7_24H:BRD-K19735876-001-04-8:10"
"286","CPC008_MCF7_24H:BRD-K29506255-019-01-0:10"
"287","CPC008_MCF7_24H:BRD-K30351863-019-01-2:10"
"288","CPC008_MCF7_24H:BRD-K36533576-001-03-1:10"
"289","CPC008_MCF7_24H:BRD-K37456065-001-01-6:10"
"290","CPC008_MCF7_24H:BRD-K41006959-001-01-2:10"
"291","CPC008_MCF7_24H:BRD-K42455570-001-04-3:10"
"292","CPC008_MCF7_24H:BRD-K44640865-019-01-0:10"
"293","CPC008_MCF7_24H:BRD-K44978960-019-01-8:10"
"294","CPC008_MCF7_24H:BRD-K45505681-001-01-4:10"
"295","CPC008_MCF7_24H:BRD-K48844671-001-01-6:10"
"296","CPC008_MCF7_24H:BRD-K50218580-001-01-8:10"
"297","CPC008_MCF7_24H:BRD-K52163391-001-05-4:10"
"298","CPC008_MCF7_24H:BRD-K54687541-001-01-8:10"
"299","CPC008_MCF7_24H:BRD-K55186349-001-01-4:10"
"300","CPC008_MCF7_24H:BRD-K55487965-001-04-3:10"
"301","CPC008_MCF7_24H:BRD-K57353465-001-01-6:10"
"302","CPC008_MCF7_24H:BRD-K58247702-001-01-2:10"
"303","CPC008_MCF7_24H:BRD-K59222562-019-01-5:10"
"304","CPC008_MCF7_24H:BRD-K64738596-001-06-0:10"
"305","CPC008_MCF7_24H:BRD-K66032149-001-01-9:10"
"306","CPC008_MCF7_24H:BRD-K66884694-001-05-3:10"
"307","CPC008_MCF7_24H:BRD-K70917163-001-04-0:10"
"308","CPC008_MCF7_24H:BRD-K71382703-001-01-9:10"
"309","CPC008_MCF7_24H:BRD-K74710236-001-04-8:10"
"310","CPC008_MCF7_24H:BRD-K75784474-019-01-1:10"
"311","CPC008_MCF7_24H:BRD-K79554012-001-01-1:10"
"312","CPC008_MCF7_24H:BRD-K81418486:10"
"313","CPC008_MCF7_24H:BRD-K81592585-001-05-5:10"
"314","CPC008_MCF7_24H:BRD-K84881516-001-01-2:10"
"315","CPC008_MCF7_24H:BRD-K89059493-001-01-7:10"
"316","CPC008_MCF7_24H:BRD-K89093471-001-03-8:10"
"317","CPC008_MCF7_24H:BRD-K89748981-001-01-4:10"
"318","CPC008_MCF7_24H:BRD-K90446130-019-01-4:10"
"319","CPC008_MCF7_24H:BRD-K92742972-001-06-2:10"
"320","CPC008_MCF7_24H:BRD-K95037415-001-06-9:10"
"321","CPC008_MCF7_24H:BRD-K98079119-001-01-8:10"
"322","CPC008_MCF7_24H:BRD-K98575502-001-01-0:10"
"323","CPC008_MCF7_24H:BRD-K99530743-001-01-3:10"
"324","CPC009_MCF7_24H:BRD-A05565054-001-01-7:10"
"325","CPC009_MCF7_24H:BRD-A11087911-001-05-8:10"
"326","CPC009_MCF7_24H:BRD-A11095214-001-04-8:10"
"327","CPC009_MCF7_24H:BRD-A16820783-001-06-0:10"
"328","CPC009_MCF7_24H:BRD-A19500257:10"
"329","CPC009_MCF7_24H:BRD-A34208323-001-01-4:10"
"330","CPC009_MCF7_24H:BRD-A42737819-001-01-3:10"
"331","CPC009_MCF7_24H:BRD-A85891951-001-04-8:10"
"332","CPC009_MCF7_24H:BRD-K01834163-001-04-1:10"
"333","CPC009_MCF7_24H:BRD-K02637541-001-12-3:10"
"334","CPC009_MCF7_24H:BRD-K03339442-001-01-8:10"
"335","CPC009_MCF7_24H:BRD-K10114046-001-01-6:10"
"336","CPC009_MCF7_24H:BRD-K14027855-019-01-8:10"
"337","CPC009_MCF7_24H:BRD-K14270862-001-01-3:10"
"338","CPC009_MCF7_24H:BRD-K14939371-019-01-9:10"
"339","CPC009_MCF7_24H:BRD-K18724229-019-01-5:10"
"340","CPC009_MCF7_24H:BRD-K18726304-019-01-8:10"
"341","CPC009_MCF7_24H:BRD-K23149109-019-01-3:10"
"342","CPC009_MCF7_24H:BRD-K33182644-001-05-3:10"
"343","CPC009_MCF7_24H:BRD-K35858371-001-01-4:10"
"344","CPC009_MCF7_24H:BRD-K39829853-019-01-0:10"
"345","CPC009_MCF7_24H:BRD-K39866321-001-04-8:10"
"346","CPC009_MCF7_24H:BRD-K42489623-001-06-4:10"
"347","CPC009_MCF7_24H:BRD-K49094915-019-01-5:10"
"348","CPC009_MCF7_24H:BRD-K53461563-019-01-4:10"
"349","CPC009_MCF7_24H:BRD-K53732802-019-01-9:10"
"350","CPC009_MCF7_24H:BRD-K55034844-019-01-8:10"
"351","CPC009_MCF7_24H:BRD-K55127335-001-05-5:10"
"352","CPC009_MCF7_24H:BRD-K56593336-001-05-6:10"
"353","CPC009_MCF7_24H:BRD-K65369159-001-03-9:10"
"354","CPC009_MCF7_24H:BRD-K68535470-001-06-7:10"
"355","CPC009_MCF7_24H:BRD-K74690444-001-01-6:10"
"356","CPC009_MCF7_24H:BRD-K77547920-001-04-2:10"
"357","CPC009_MCF7_24H:BRD-K82580504-001-01-6:10"
"358","CPC009_MCF7_24H:BRD-K82732294-001-05-8:10"
"359","CPC009_MCF7_24H:BRD-K86846944-019-01-7:10"
"360","CPC009_MCF7_24H:BRD-K87024524-001-03-2:10"
"361","CPC009_MCF7_24H:BRD-K87371039-003-01-5:10"
"362","CPC009_MCF7_24H:BRD-K88832793-001-03-1:10"
"363","CPC009_MCF7_24H:BRD-K89224880-001-07-5:10"
"364","CPC009_MCF7_24H:BRD-K95138506-019-01-8:10"
"365","CPC010_MCF7_24H:BRD-A19037878:10"
"366","CPC010_MCF7_24H:BRD-A25170757-001-05-3:10"
"367","CPC010_MCF7_24H:BRD-A36275421-001-18-6:10"
"368","CPC010_MCF7_24H:BRD-A37735495-001-10-6:10"
"369","CPC010_MCF7_24H:BRD-A61825514-001-06-9:10"
"370","CPC010_MCF7_24H:BRD-A61856038-001-05-3:10"
"371","CPC010_MCF7_24H:BRD-A68065211-001-08-7:10"
"372","CPC010_MCF7_24H:BRD-A72180425-001-10-6:10"
"373","CPC010_MCF7_24H:BRD-A75409952:10"
"374","CPC010_MCF7_24H:BRD-A84524947-001-05-0:10"
"375","CPC010_MCF7_24H:BRD-A89049230-001-03-4:10"
"376","CPC010_MCF7_24H:BRD-K00541156-001-04-2:10"
"377","CPC010_MCF7_24H:BRD-K13277629-001-02-1:10"
"378","CPC010_MCF7_24H:BRD-K17025677-019-03-1:10"
"379","CPC010_MCF7_24H:BRD-K17830172-001-11-5:10"
"380","CPC010_MCF7_24H:BRD-K18749194-001-03-7:10"
"381","CPC010_MCF7_24H:BRD-K22129929-001-07-9:10"
"382","CPC010_MCF7_24H:BRD-K28143534-003-20-0:10"
"383","CPC010_MCF7_24H:BRD-K40094191-001-05-8:10"
"384","CPC010_MCF7_24H:BRD-K41845021-004-02-9:10"
"385","CPC010_MCF7_24H:BRD-K43131268-001-06-1:10"
"386","CPC010_MCF7_24H:BRD-K43782924-001-05-9:10"
"387","CPC010_MCF7_24H:BRD-K43913647-001-07-2:10"
"388","CPC010_MCF7_24H:BRD-K53932786-001-08-8:10"
"389","CPC010_MCF7_24H:BRD-K54168141-001-05-4:10"
"390","CPC010_MCF7_24H:BRD-K58519325-001-06-0:10"
"391","CPC010_MCF7_24H:BRD-K63129749-001-03-6:10"
"392","CPC010_MCF7_24H:BRD-K64835161-019-03-8:10"
"393","CPC010_MCF7_24H:BRD-K70771662-001-04-7:10"
"394","CPC010_MCF7_24H:BRD-K73125384-001-05-7:10"
"395","CPC010_MCF7_24H:BRD-K78278890-001-07-2:10"
"396","CPC010_MCF7_24H:BRD-K78385490-019-02-2:10"
"397","CPC010_MCF7_24H:BRD-K81418486:10"
"398","CPC010_MCF7_24H:BRD-K85853281-001-03-9:10"
"399","CPC010_MCF7_24H:BRD-K86231656-001-09-1:10"
"400","CPC010_MCF7_24H:BRD-K89839824-001-03-8:10"
"401","CPC010_MCF7_24H:BRD-K93229693-001-03-4:10"
"402","CPC010_MCF7_24H:BRD-K99582188-001-04-0:10"
"403","CPC010_MCF7_24H:BRD-K99633092-001-02-0:10"
"404","CPC011_MCF7_24H:BRD-A09056319-001-07-1:10"
"405","CPC011_MCF7_24H:BRD-K04196797-001-19-4:10"
"406","CPC011_MCF7_24H:BRD-K63343048-001-07-2:10"
"407","CPC011_MCF7_24H:BRD-K71430621-001-02-3:10"
"408","CPC011_MCF7_24H:BRD-K74195153-050-10-5:10"
"409","CPC011_MCF7_24H:BRD-K81418486:10"
"410","CPC011_MCF7_24H:BRD-K82036761-003-12-0:10"
"411","CPC011_MCF7_24H:BRD-K84036904-001-05-4:10"
"412","CPC011_MCF7_24H:BRD-K86003836-001-06-3:10"
"413","CPC011_MCF7_24H:BRD-K96471533-001-04-1:10"
"414","CPC012_MCF7_24H:BRD-A19248578-001-03-7:10"
"415","CPC012_MCF7_24H:BRD-A27640568-001-01-1:10"
"416","CPC012_MCF7_24H:BRD-A63583287-001-01-8:10"
"417","CPC012_MCF7_24H:BRD-K01614657-001-01-6:10"
"418","CPC012_MCF7_24H:BRD-K07023879-001-01-6:10"
"419","CPC012_MCF7_24H:BRD-K07403598-001-01-0:10"
"420","CPC012_MCF7_24H:BRD-K08307026-001-01-4:10"
"421","CPC012_MCF7_24H:BRD-K10573841-001-01-0:10"
"422","CPC012_MCF7_24H:BRD-K13794505-001-01-6:10"
"423","CPC012_MCF7_24H:BRD-K16290432-001-01-0:10"
"424","CPC012_MCF7_24H:BRD-K28610502-001-01-0:10"
"425","CPC012_MCF7_24H:BRD-K32485462-001-01-9:10"
"426","CPC012_MCF7_24H:BRD-K32896438-001-01-8:10"
"427","CPC012_MCF7_24H:BRD-K41227865-001-01-7:10"
"428","CPC012_MCF7_24H:BRD-K42308740-001-01-5:10"
"429","CPC012_MCF7_24H:BRD-K42568865-001-01-3:10"
"430","CPC012_MCF7_24H:BRD-K44432556-001-01-4:10"
"431","CPC012_MCF7_24H:BRD-K45842176-001-01-3:10"
