"","x"
"241","CPC004_PC3_24H:BRD-K51290057-001-01-0:10"
"242","CPC004_PC3_24H:BRD-K60038276-001-03-3:10"
"243","CPC004_PC3_24H:BRD-K66353228-001-08-8:10"
"244","CPC004_PC3_24H:BRD-K69608737-001-03-7:10"
"245","CPC004_PC3_24H:BRD-K70327191-001-01-4:10"
"246","CPC004_PC3_24H:BRD-K70914287-300-01-0:10"
"247","CPC004_PC3_24H:BRD-K78126613-001-16-0:10"
"248","CPC004_PC3_24H:BRD-K79131256-001-08-8:10"
"249","CPC004_PC3_24H:BRD-K80431395-001-02-4:10"
"250","CPC004_PC3_24H:BRD-K82036761-003-07-0:10"
"251","CPC004_PC3_24H:BRD-K82941592-238-02-9:10"
"252","CPC004_PC3_24H:BRD-K87343924-001-02-4:10"
"253","CPC004_PC3_24H:BRD-K89997465-001-05-3:10"
"254","CPC004_PC3_24H:BRD-K96799727-001-01-7:10"
"255","CPC005_PC3_24H:BRD-A08003242-001-02-7:10"
"256","CPC005_PC3_24H:BRD-A13133631-001-03-2:10"
"257","CPC005_PC3_24H:BRD-A18419789-001-01-4:10"
"258","CPC005_PC3_24H:BRD-A19037878:10"
"259","CPC005_PC3_24H:BRD-A19500257:10"
"260","CPC005_PC3_24H:BRD-A22713669-001-01-9:10"
"261","CPC005_PC3_24H:BRD-A34299591-001-03-4:10"
"262","CPC005_PC3_24H:BRD-A45889380-300-04-8:10"
"263","CPC005_PC3_24H:BRD-A47144777-001-02-5:10"
"264","CPC005_PC3_24H:BRD-A47513740-001-02-5:10"
"265","CPC005_PC3_24H:BRD-A65440446-001-03-3:10"
"266","CPC005_PC3_24H:BRD-A72711497-236-02-0:10"
"267","CPC005_PC3_24H:BRD-A75409952:10"
"268","CPC005_PC3_24H:BRD-A78360835-001-01-1:10"
"269","CPC005_PC3_24H:BRD-A82238138-001-01-7:10"
"270","CPC005_PC3_24H:BRD-A84481105-003-17-2:10"
"271","CPC005_PC3_24H:BRD-K04210847-001-01-1:10"
"272","CPC005_PC3_24H:BRD-K09991945-001-02-0:10"
"273","CPC005_PC3_24H:BRD-K13725475-001-02-4:10"
"274","CPC005_PC3_24H:BRD-K21350491-001-02-1:10"
"275","CPC005_PC3_24H:BRD-K27305650-003-01-4:10"
"276","CPC005_PC3_24H:BRD-K32828673-002-03-9:10"
"277","CPC005_PC3_24H:BRD-K35377380-001-01-4:10"
"278","CPC005_PC3_24H:BRD-K39520573-001-01-2:10"
"279","CPC005_PC3_24H:BRD-K43796186-001-01-1:10"
"280","CPC005_PC3_24H:BRD-K48735772-001-01-4:10"
"281","CPC005_PC3_24H:BRD-K50464341-001-02-6:10"
"282","CPC005_PC3_24H:BRD-K50841342-001-01-6:10"
"283","CPC005_PC3_24H:BRD-K53959060-001-01-3:10"
"284","CPC005_PC3_24H:BRD-K54095730-001-01-5:10"
"285","CPC005_PC3_24H:BRD-K55454768-001-01-8:10"
"286","CPC005_PC3_24H:BRD-K56429665-001-03-9:10"
"287","CPC005_PC3_24H:BRD-K58299615-001-02-7:10"
"288","CPC005_PC3_24H:BRD-K61951118-001-02-0:10"
"289","CPC005_PC3_24H:BRD-K64746805-001-02-9:10"
"290","CPC005_PC3_24H:BRD-K78599730-001-02-6:10"
"291","CPC005_PC3_24H:BRD-K83063356-003-01-7:10"
"292","CPC005_PC3_24H:BRD-K84895041-001-01-6:10"
"293","CPC005_PC3_24H:BRD-K89152108-236-04-3:10"
"294","CPC005_PC3_24H:BRD-K89853519-001-02-1:10"
"295","CPC005_PC3_24H:BRD-K95655893-001-01-0:10"
"296","CPC006_PC3_24H:A03"
"297","CPC006_PC3_24H:A04"
"298","CPC006_PC3_24H:A19"
"299","CPC006_PC3_24H:A21"
"300","CPC006_PC3_24H:A23"
"301","CPC006_PC3_24H:B03"
"302","CPC006_PC3_24H:C01"
"303","CPC006_PC3_24H:C02"
